TF,target,importance
ATF1,ST6GAL1,1
ATF1,ZNF141,1
ATF1,ZNF721,1
ATF1,LETM1,1
ATF1,TMEM128,1
ATF1,SEPSECS-AS1,1
ATF1,ANAPC4,1
ATF1,WDR19,1
ATF1,UGDH-AS1,1
ATF1,DCAF4L1,1
ATF1,OCIAD2,1
ATF1,THAP6,1
ATF1,PLAC8,1
ATF1,HELQ,1
ATF1,MRPS18C,1
ATF1,ARHGAP24,1
ATF1,RAP1GDS1,1
ATF1,DAPP1,1
ATF1,ANK2,1
ATF1,METTL14-DT,1
ATF1,METTL14,1
ATF1,C4orf3,1
ATF1,MFSD8,1
ATF1,NDUFC1,1
ATF1,ANAPC10,1
ATF1,LRP2BP-AS1,1
ATF1,LRP2BP,1
ATF1,SLC1A3-AS1,1
ATF1,GPBP1,1
ATF1,RAD17,1
ATF1,RGMB-AS1,1
ATF1,AP3S1,1
ATF1,TNFAIP8,1
ATF1,DMXL1-DT,1
ATF1,C5orf15,1
ATF1,MATR3,1
ATF1,IGIP,1
ATF1,PLAC8L1,1
ATF1,MAT2B,1
ATF1,RPL26L1-AS1,1
ATF1,ATP6V0E1,1
ATF1,SNCB,1
ATF1,HNRNPH1,1
ATF1,BPHL,1
ATF1,TRIM38,1
ATF1,BTN3A2,1
ATF1,HMGN4,1
ATF1,BTN2A2,1
ATF1,BTN3A3,1
ATF1,ZNF165,1
ATF1,ZSCAN16,1
ATF1,ZSCAN26,1
ATF1,GABBR1,1
ATF1,HLA-F,1
ATF1,HCG18,1
ATF1,RPP21,1
ATF1,HLA-E,1
ATF1,MRPS18B,1
ATF1,NCR3,1
ATF1,CLIC1,1
ATF1,SNHG32,1
ATF1,TSBP1-AS1,1
ATF1,TSBP1,1
ATF1,HLA-DRA,1
ATF1,HLA-DQA2,1
ATF1,HLA-DQB2,1
ATF1,HLA-DOB,1
ATF1,PSMB8-AS1,1
ATF1,PSMB9,1
ATF1,HLA-DMB,1
ATF1,HLA-DMA,1
ATF1,HLA-DOA,1
ATF1,HLA-DPA1,1
ATF1,HLA-DPB1,1
ATF1,HCG24,1
ATF1,HLA-DQA1,1
ATF1,HCG25,1
ATF1,ILRUN-AS1,1
ATF1,SMIM29,1
ATF1,SLC22A7,1
ATF1,CRIP3,1
ATF1,GCM1,1
ATF1,ELOVL5,1
ATF1,MDN1-AS1,1
ATF1,MAN1A1,1
ATF1,PDE7B,1
ATF1,PDE7B-AS1,1
ATF1,CCR6,1
ATF1,SUN1,1
ATF1,ELFN1-AS1,1
ATF1,MAD1L1,1
ATF1,SNX8,1
ATF1,GIRGL,1
ATF1,CCDC126,1
ATF1,PALS2,1
ATF1,AMPH,1
ATF1,VPS41,1
ATF1,YAE1,1
ATF1,CDK13,1
ATF1,TMED4,1
ATF1,MRPL32,1
ATF1,LINC00174,1
ATF1,SPDYE21,1
ATF1,SPDYE5,1
ATF1,GSAP,1
ATF1,PHTF2,1
ATF1,RBM48,1
ATF1,VPS50,1
ATF1,POT1-AS1,1
ATF1,LAMTOR4,1
ATF1,STAG3,1
ATF1,ZCWPW1,1
ATF1,ING3,1
ATF1,WNT16,1
ATF1,POT1,1
ATF1,SLC13A4,1
ATF1,NDUFB2,1
ATF1,AGK,1
ATF1,WEE2,1
ATF1,ABCF2-H2BK1,1
ATF1,MCPH1-AS1,1
ATF1,AGPAT5,1
ATF1,MTMR9,1
ATF1,BLK,1
ATF1,PEBP4,1
ATF1,TNFRSF10A-DT,1
ATF1,CHMP7,1
ATF1,RNF122,1
ATF1,NSD3,1
ATF1,DDHD2,1
ATF1,PLPP5,1
ATF1,IKBKB,1
ATF1,SMIM19,1
ATF1,DNAJC5B,1
ATF1,C8orf44-SGK3,1
ATF1,C8orf44,1
ATF1,MIR378D2HG,1
ATF1,VIRMA-DT,1
ATF1,POP1,1
ATF1,POLR2K,1
ATF1,ZNNT1,1
ATF1,ZNF706,1
ATF1,HPYR1,1
ATF1,MINCR,1
ATF1,ZNF7,1
ATF1,ZNF252P-AS1,1
ATF1,ZNF34,1
ATF1,ZNF250,1
ATF1,PGM5P3-AS1,1
ATF1,RFX3-DT,1
ATF1,LINC02851,1
ATF1,KDM4C,1
ATF1,RIGI,1
ATF1,SMIM27,1
ATF1,NDUFB6,1
ATF1,SMU1,1
ATF1,NFX1,1
ATF1,APTX,1
ATF1,B4GALT1,1
